City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition,Date
284,Salalah,OM,17.0151,54.0924,81.48,65,3,8.01,clear sky,2021-10-30 14:57:40
285,Haimen,CN,23.1935,116.6142,71.49,79,94,12.37,overcast clouds,2021-10-30 14:57:41
286,Khandyga,RU,62.6667,135.6,-2.49,100,100,0.69,overcast clouds,2021-10-30 14:57:41
287,Svetlogorsk,BY,52.6333,29.7333,49.8,65,6,8.55,clear sky,2021-10-30 14:57:42
288,Killybegs,IE,54.6333,-8.45,50.45,73,45,11.56,light rain,2021-10-30 14:57:42
289,Kytmanovo,RU,53.4593,85.4479,35.19,96,100,10.71,light rain,2021-10-30 14:57:43
290,Plainview,US,40.7765,-73.4673,63.91,82,66,1.01,light rain,2021-10-30 14:57:43
291,Kununurra,AU,-15.7667,128.7333,82.38,69,40,8.05,scattered clouds,2021-10-30 14:57:44
292,Huarmey,PE,-10.0681,-78.1522,67.1,77,70,6.85,broken clouds,2021-10-30 14:57:44
293,Natal,BR,-5.795,-35.2094,88.45,55,40,18.41,scattered clouds,2021-10-30 14:57:44
294,Zholymbet,KZ,51.7433,71.7122,35.76,87,100,16.37,overcast clouds,2021-10-30 14:57:45
295,Tezu,IN,27.9167,96.1667,67.17,58,0,4.32,clear sky,2021-10-30 14:57:45
296,Sangar,RU,63.9242,127.4739,-14.66,100,99,2.77,overcast clouds,2021-10-30 14:57:45
297,Meulaboh,ID,4.1363,96.1285,77.59,84,92,2.1,overcast clouds,2021-10-30 14:57:46
298,Korhogo,CI,9.45,-5.6333,88.07,49,100,4.63,overcast clouds,2021-10-30 14:57:46
299,Wewak,PG,-3.5534,143.6268,81.25,82,87,5.08,overcast clouds,2021-10-30 14:57:46
300,Dowa,MW,-13.654,33.9375,84.47,30,5,9.19,clear sky,2021-10-30 14:57:47
301,Taupo,NZ,-38.6833,176.0833,58.24,98,100,6.31,moderate rain,2021-10-30 14:57:47
302,Sibolga,ID,1.7427,98.7792,77.59,89,100,2.26,heavy intensity rain,2021-10-30 14:57:48
303,Ust-Kuyga,RU,70.0167,135.6,-8.21,100,100,5.17,overcast clouds,2021-10-30 14:57:48
304,Taoudenni,ML,22.6783,-3.9836,95.18,17,80,5.84,broken clouds,2021-10-30 14:57:48
305,Jining,CN,35.405,116.5814,61.21,55,8,2.53,light rain,2021-10-30 14:57:49
306,Yar-Sale,RU,66.8333,70.8333,10.96,89,100,18.21,overcast clouds,2021-10-30 14:57:49
307,Muslyumovo,RU,55.3033,53.1947,44.58,89,100,15.77,overcast clouds,2021-10-30 14:57:50
308,Northport,US,33.229,-87.5772,55.22,91,90,8.05,overcast clouds,2021-10-30 14:57:01
309,Asuncion Nochixtlan,MX,17.4667,-97.2333,59.41,75,42,3.02,scattered clouds,2021-10-30 14:57:50
310,Saskylakh,RU,71.9167,114.0833,5.43,93,100,10.8,overcast clouds,2021-10-30 14:57:51
311,Nadvoitsy,RU,63.8667,34.3167,43.39,89,100,9.57,overcast clouds,2021-10-30 14:57:51
312,Solnechnyy,RU,50.7214,136.6319,28.27,80,100,9.04,overcast clouds,2021-10-30 14:57:52
313,Port Hardy,CA,50.6996,-127.4199,41.0,93,1,5.75,clear sky,2021-10-30 14:57:52
314,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,85,20,4.61,few clouds,2021-10-30 14:57:52
315,Keti Bandar,PK,24.1447,67.4497,82.71,46,21,8.34,few clouds,2021-10-30 14:57:53
316,Muros,ES,42.7762,-9.0603,66.24,85,100,9.17,overcast clouds,2021-10-30 14:57:53
317,Samarai,PG,-10.6167,150.6667,81.61,82,30,10.4,scattered clouds,2021-10-30 14:57:53
318,Muyezerskiy,RU,63.9333,31.65,41.52,95,100,8.1,overcast clouds,2021-10-30 14:57:54
319,Kut Chap,TH,17.4257,102.5669,78.01,82,97,3.87,overcast clouds,2021-10-30 14:57:54
320,Bar,UA,49.0772,27.6826,46.13,56,0,13.6,clear sky,2021-10-30 14:57:55
321,Odweyne,SO,9.4092,45.064,75.9,50,7,15.26,clear sky,2021-10-30 14:57:55
322,Nantucket,US,41.2835,-70.0995,60.04,91,41,24.52,scattered clouds,2021-10-30 14:55:44
323,Guerrero Negro,MX,27.9769,-114.0611,66.13,80,0,4.5,clear sky,2021-10-30 14:57:56
324,Luau,AO,-10.7073,22.2247,84.27,47,91,1.28,overcast clouds,2021-10-30 14:57:56
325,Umm Lajj,SA,25.0213,37.2685,84.18,54,36,8.66,scattered clouds,2021-10-30 14:57:56
326,Broome,US,42.2506,-75.833,53.2,80,100,5.01,overcast clouds,2021-10-30 14:57:57
327,Zonguldak,TR,41.25,31.8333,49.24,72,0,1.39,clear sky,2021-10-30 14:57:57
328,Manyana,BW,-23.4,21.7167,88.92,12,0,13.76,clear sky,2021-10-30 14:57:57
329,Fairview,US,40.8126,-73.999,64.58,87,20,5.75,mist,2021-10-30 14:57:58
330,Victor Harbor,AU,-35.5667,138.6167,52.72,90,3,0.36,clear sky,2021-10-30 14:57:58
331,Quirinopolis,BR,-18.4483,-50.4517,87.31,42,96,8.41,overcast clouds,2021-10-30 14:57:59
332,Calabozo,VE,8.9242,-67.4293,82.54,70,94,3.33,overcast clouds,2021-10-30 14:57:59
333,Zemio,CF,5.0314,25.1361,84.04,65,97,3.2,overcast clouds,2021-10-30 14:57:59
334,Awbari,LY,26.5921,12.7805,82.42,22,2,3.8,clear sky,2021-10-30 14:58:00
335,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,62,40,18.41,scattered clouds,2021-10-30 14:58:00
336,Nanakuli,US,21.3906,-158.1547,72.72,79,0,2.93,clear sky,2021-10-30 14:58:00
337,Port Blair,IN,11.6667,92.75,81.7,79,93,3.42,overcast clouds,2021-10-30 14:58:01
